title,url
Thế nào là “Phạm tội lần đầu và thuộc trường hợp ít nghiêm trọng”?,https://luatvietnam.vn/luat-su-tu-van/the-nao-la-pham-toi-lan-dau-va-thuoc-truong-hop-it-nghiem-trong-150963-faqs.html
Cơ quan nào có thẩm quyền quyết định việc miễn giảm tiền sử dụng đất?,https://luatvietnam.vn/luat-su-tu-van/co-quan-nao-co-tham-quyen-quyet-dinh-viec-mien-giam-tien-su-dung-dat-150952-faqs.html
Tách sổ đỏ cấp chung cho nhiều thửa đất được không?,https://luatvietnam.vn/luat-su-tu-van/tach-so-do-cap-chung-cho-nhieu-thua-dat-duoc-khong-150951-faqs.html
Thời hạn truy thu thuế là bao lâu?,https://luatvietnam.vn/luat-su-tu-van/thoi-han-truy-thu-thue-la-bao-lau-150946-faqs.html
Đánh chủ nợ vì bị đe dọa thì có phạm tội không?,https://luatvietnam.vn/luat-su-tu-van/danh-chu-no-vi-bi-de-doa-thi-co-pham-toi-khong-150936-faqs.html
Phạm tội lần đầu có được giảm án không?,https://luatvietnam.vn/luat-su-tu-van/pham-toi-lan-dau-co-duoc-giam-an-khong-150933-faqs.html
Như thế nào là phạm tội nhưng chưa gây thiệt hại?,https://luatvietnam.vn/luat-su-tu-van/nhu-the-nao-la-pham-toi-nhung-chua-gay-thiet-hai-150932-faqs.html
Phải xác nhận tài sản trên đất mới được bán đất có đúng không?,https://luatvietnam.vn/luat-su-tu-van/phai-xac-nhan-tai-san-tren-dat-moi-duoc-ban-dat-co-dung-khong-150926-faqs.html
Ăn trộm tiền để đi chữa bệnh cho con thì có được coi là Phạm tội vì hoàn cảnh đặc biệt khó khăn hay không?,https://luatvietnam.vn/luat-su-tu-van/an-trom-tien-de-di-chua-benh-cho-con-thi-co-duoc-coi-la-pham-toi-vi-hoan-canh-dac-biet-kho-khan-hay-khong-150925-faqs.html
Đánh chồng do bị chồng đánh trước thì có được coi giảm nhẹ trách nhiệm hình sự không?,https://luatvietnam.vn/luat-su-tu-van/danh-chong-do-bi-chong-danh-truoc-thi-co-duoc-coi-giam-nhe-trach-nhiem-hinh-su-khong-150924-faqs.html
Như thế nào là phạm tội trong trường hợp vượt quá yêu cầu của tình thế cấp thiết?,https://luatvietnam.vn/luat-su-tu-van/nhu-the-nao-la-pham-toi-trong-truong-hop-vuot-qua-yeu-cau-cua-tinh-the-cap-thiet-150923-faqs.html
Hóa đơn lập sai thời điểm có coi là chi phí hợp lý được trừ không?,https://luatvietnam.vn/luat-su-tu-van/hoa-don-lap-sai-thoi-diem-co-coi-la-chi-phi-hop-ly-duoc-tru-khong-150918-faqs.html
